Lot,part,Parametric_Measurement,layer,mchtype,mchno,Plant,trtm,meanval,maxval,minval,std,samplesize,oos,ooc,cpk,cp,usl,csl,lsl,xucl,xlcl,SUCL,SLCL,FUCL,FCCL,FLCL,FSTD,CIR,RUCL,RLCL,itemnmC
N25AFY610151,FCB249,IPP-110 Pad diameter(B)(Iso),1-24B,QV,H46A,六廠,2012/6/5 下午 03:00:38,138.198,146.12,128.83,6.530928,5,1,0,0.35,0.77,145,130,115,145,130.383,12.3,,,,,,2.096284,22.78,,圓墊直徑
N25AFY610151,FCB249,IPP-114 Pad diameter(B)(Iso1),1-24B,QV,H46A,六廠,2012/6/5 下午 03:00:38,390.816,396.61,385.29,4.716866,5,0,0,1.12,1.77,425,400,375,411.5877,383.4686,14.06,,,,,,1.238935,30.966,,圓墊直徑
N25AFY610151,FCB249,YIP-106 Alignment(B),1-24B,QV,H46A,六廠,2012/6/5 下午 03:00:38,19.0775,25.3,13.92,5.771126,4,0,0,3.23,,75,,,46.6331,0,27.54,,,,,,,44.701,,PTH對位
N25AFY610151,FCB249,YIP-107 Alignment(B),1-24B,QV,H46A,六廠,2012/6/5 下午 03:00:38,-2.9925,10.82,-15.63,11.6049,4,0,0,,,,,,42.4695,0,44.74,,,,,,,63.896,,X-對位偏差
N25AFY610151,FCB249,YIP-108 Alignment(B),1-24B,QV,H46A,六廠,2012/6/5 下午 03:00:38,2.8925,25.25,-16.42,18.99027,4,0,0,,,,,,35.5117,0,41.475,,,,,,,68.107,,Y-對位偏差
N25AAP910951,FCB247,IPP-202 Cu thickness(F)(Iso),2-24F,WYKO,H45H,五廠,2012/6/5 下午 03:00:29,16.30346,16.83401,15.71786,0.3987396,5,0,0,3.09,4.18,20,15,10,20,12.8206,4.255,,,,,,0.8178484,5.759,,銅厚
N25AAP910951,FCB247,IPP-204 Cu thickness(F)(Nest),2-24F,WYKO,H45H,五廠,2012/6/5 下午 03:00:29,17.25449,17.93771,16.25481,0.6209388,5,0,0,1.47,2.68,20,15,10,20,13.5337,4.084,,,,,,1.403061,6.655,,銅厚
N25AAP910951,FCB247,IPP-206 Cu thickness(F)(Nest1),2-24F,WYKO,H45H,五廠,2012/6/5 下午 03:00:29,17.39109,18.30714,16.43796,0.6711307,5,0,0,1.3,2.48,20,15,10,20,13.4224,4.254,,,,,,1.490095,6.958,,銅厚
N25AAP910951,FCB247,IPP-207 CZ Roughness(F)(Ra),2-24F,WYKO,H45H,五廠,2012/6/5 下午 03:00:29,0.4970664,0.524358,0.477831,0.01704587,5,0,0,1.9,2.93,0.7,,0.4,0.6794,0.4,0.171,,,,,,1.11221,0.196,,銅面粗度
N25AAP910951,FCB247,YIP-126 CZ Roughness(F)(Rz),2-24F,WYKO,H45H,五廠,2012/6/5 下午 03:00:29,14.1234,15.58151,13.16736,0.9482552,5,0,0,,,,,,18.731,5.218,6.065,,,,,,,12.828,,銅面粗度
